date,equity,cash,peak,drawdown,daily_return
2024-06-24,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-25,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-26,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-27,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-28,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-01,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-02,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-03,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-04,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-05,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-08,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-09,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-10,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-11,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-12,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-15,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-16,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-18,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-19,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-22,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-23,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-24,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-25,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-26,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-29,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-07-30,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.011254651981020825
2024-07-31,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-01,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-02,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-05,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-06,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-07,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-08,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-09,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-12,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-13,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-14,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-16,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-19,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
